class,student_id,midterm
분반2,20206084,91
분반2,20209003,95
분반2,20203515,74
분반2,20208560,71
분반2,20206179,93
분반2,20208625,98
분반2,20208748,89
분반2,20205910,75
분반2,20205671,86
분반2,20203309,87
분반2,20204362,91
분반2,20203834,71
분반2,20204915,73
분반2,20204613,94
분반2,20207404,74
분반2,20208735,79
분반2,20208589,81
분반2,20201976,72
분반2,20201337,74
분반2,20205489,91
분반2,20209774,74
분반2,20202570,100
분반2,20205900,71
분반2,20201919,96
분반2,20207829,88
분반2,20209700,76
분반2,20204353,73
분반2,20202728,75
분반2,20203410,84
분반2,20205179,87
분반2,20208961,94
분반2,20209833,101
분반2,20205089,80
분반2,20200258,84
분반2,20200593,77
분반2,20206716,72
분반2,20207095,81
분반2,20202208,99
분반2,20201492,86
분반2,20208864,72
분반2,20202487,79
분반2,20204636,96
분반2,20209314,86
분반2,20209159,79
분반2,20206697,70
분반2,20203633,95
분반2,20200618,78
분반2,20202893,84
분반2,20203054,81
분반2,20204498,93
분반2,20200733,81
